"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"OUT1,USB1,LINE1,MIC1";"Pot";4;"10K";;;
2;"LOW1,MID1,HIGH1";"Pot";3;"50K";;;
3;"U2";"TL072IP";1;"TL072IP";;;
4;"U1";"TL074CN";1;"TL074CN";;;
5;"R25,R14,R13,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"47K";;;
6;"R24,R23,R21,R11,R10,R8,R6,R5,R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"10K";;;
7;"R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
8;"R20,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"6K8";;;
9;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K3";;;
10;"R17,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"910";;;
11;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K1";;;
12;"R9,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100K";;;
13;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"3K3";;;
14;"J5";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";1;"OUT";;;
15;"J4";"JST_NV_B03P-NV_1x03_P5.00mm_Vertical";1;"Alimentação";;;
16;"J3";"JST_NV_B03P-NV_1x03_P5.00mm_Vertical";1;"USB";;;
17;"J2";"JST_NV_B03P-NV_1x03_P5.00mm_Vertical";1;"LINE";;;
18;"J1";"JST_NV_B03P-NV_1x03_P5.00mm_Vertical";1;"MIC";;;
19;"C27,C8,C7,C6,C5,C4,C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";7;"10pF";;;
20;"C26,C24,C23,C18,C17,C16";"C_Radial_D4.0mm_H5.0mm_P1.50mm";6;"47uF";;;
21;"C25,C22";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"20pF";;;
22;"C21";"C_Disc_D7.0mm_W2.5mm_P5.00mm";1;"12nF";;;
23;"C20,C19";"C_Disc_D7.0mm_W2.5mm_P5.00mm";2;"33nF";;;
24;"C15,C14";"C_Disc_D7.0mm_W2.5mm_P5.00mm";2;"100nF";;;
25;"C13,C12,C11";"C_Disc_D3.0mm_W1.6mm_P2.50mm";3;"1uF";;;
26;"C10,C9";"C_Disc_D7.0mm_W2.5mm_P5.00mm";2;"18mF";;;
27;"C2,C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"680pF";;;
